(182, 14)
(256, 17)
(417, 24)
(182, 14)
(506, 4)
(504, 22)
(344, 17)
(136, 28)
(504, 22)
(136, 28)
(344, 17)
(182, 14)
(367, 16)
(417, 11)
(729, 12)
(118, 4)
(118, 4)
(417, 11)
(367, 16)
(274, 7)
(344, 17)
(118, 4)
(182, 14)
(256, 17)
(182, 14)
(118, 4)
(182, 14)
(417, 26)
(0, 10)
(182, 14)
(80, 10)
(487, 1)
(299, 4)
(158, 17)
(384, 20)
(158, 17)
(384, 20)
(384, 20)
(598, 4)
(80, 10)
(48, 6)
(80, 10)
(353, 6)
(176, 1)
(384, 20)
(80, 10)
(158, 17)
(354, 1)
(384, 20)
(80, 10)
(384, 20)
(158, 17)
(80, 10)
(158, 17)
(299, 6)
(257, 10)
(325, 1)
(4, 7)
(246, 21)
(305, 17)
(68, 40)
(128, 5)
(257, 10)
(160, 5)
(343, 3)
(257, 10)
(246, 10)
(45, 1)
(325, 1)
(257, 10)
(45, 1)
(128, 5)
(160, 5)
(191, 8)
(257, 10)
(246, 10)
(128, 5)
(160, 5)
(257, 10)
(305, 4)
(0, 3)
(71, 11)
(205, 11)
(247, 22)
(293, 25)
(0, 3)
(71, 11)
(247, 7)
(259, 10)
(205, 11)
(0, 3)
(71, 11)
(259, 10)
(393, 5)
(0, 3)
(71, 11)
(205, 11)
(247, 22)
(0, 3)
(205, 11)
(247, 22)
(293, 25)
(71, 11)
(205, 11)
(247, 22)
(259, 10)
(33, 16)
(89, 19)
(9, 4)
(33, 16)
(3, 10)
(33, 16)
(33, 16)
(33, 16)
(111, 11)
(111, 11)
(9, 4)
(57, 45)
(105, 26)
(142, 43)
(115, 16)
(169, 16)
(169, 16)
(71, 31)
(115, 16)
(57, 128)
(43, 5)
(57, 11)
(115, 16)
(142, 13)
(169, 18)
(115, 16)
(71, 31)
(169, 18)
(24, 17)
(175, 2)
(252, 24)
(280, 4)
(329, 4)
(72, 16)
(24, 17)
(366, 16)
(522, 12)
(280, 4)
(53, 3)
(252, 24)
(53, 3)
(541, 19)
(329, 4)
(205, 11)
(24, 17)
(282, 4)
(205, 11)
(329, 4)
(541, 19)
(3, 13)
(19, 10)
(152, 4)
(118, 15)
(333, 9)
(58, 6)
(3, 13)
(118, 15)
(289, 29)
(333, 9)
(12, 4)
(152, 4)
(118, 15)
(248, 4)
(289, 29)
(3, 13)
(152, 4)
(346, 4)
(58, 6)
(3, 13)
(152, 6)
(118, 15)
(346, 6)
(681, 8)
(140, 3)
(222, 3)
(103, 17)
(452, 26)
(681, 8)
(330, 5)
(140, 3)
(592, 30)
(222, 3)
(36, 10)
(36, 10)
(452, 26)
(592, 32)
(222, 3)
(43, 3)
(306, 4)
(681, 8)
(41, 26)
(97, 18)
(348, 1)
(346, 4)
(156, 17)
(848, 3)
(935, 5)
(97, 18)
(346, 4)
(623, 4)
(655, 4)
(121, 11)
(97, 18)
(41, 26)
(346, 4)
(848, 3)
(156, 17)
(346, 6)
(156, 17)
(848, 3)
(109, 3)
(305, 2)
(340, 2)
(718, 2)
(484, 10)
(305, 2)
(431, 6)
(524, 9)
(459, 9)
(1068, 16)
(109, 3)
(156, 10)
(210, 10)
(305, 2)
(109, 3)
(54, 3)
(210, 10)
(305, 2)
(431, 8)
(818, 2)
(34, 3)
(502, 3)
(858, 3)
(148, 4)
(201, 18)
(126, 2)
(201, 18)
(148, 4)
(148, 4)
(977, 12)
(126, 2)
(533, 15)
(712, 20)
(303, 5)
(298, 17)
(1228, 20)
(668, 18)
(1498, 18)
(1746, 13)
(206, 4)
(298, 17)
(668, 18)
(859, 2)
(706, 29)
(298, 17)
(465, 14)
(704, 38)
(859, 2)
(206, 4)
(183, 8)
(465, 14)
(298, 17)
(1055, 11)
(1746, 13)
(46, 6)
(126, 2)
(287, 25)
(632, 16)
(203, 2)
(46, 6)
(85, 7)
(103, 4)
(287, 25)
(278, 8)
(46, 6)
(126, 2)
(287, 25)
